Phone timestamp;sensor timestamp [ns];timestamp [ms];ecg [uV]
2024-09-16T19:00:52.069;599620869282584064;2534.206;480
2024-09-16T19:00:52.076;599620869290259712;2541.8816;452
2024-09-16T19:00:52.084;599620869297935488;2549.5571;442
2024-09-16T19:00:52.092;599620869305611136;2557.2332;445
2024-09-16T19:00:52.099;599620869313286784;2564.9084;442
2024-09-16T19:00:52.107;599620869320962560;2572.5845;442
2024-09-16T19:00:52.115;599620869328638208;2580.26;447
2024-09-16T19:00:52.122;599620869336313984;2587.9358;440
2024-09-16T19:00:52.130;599620869343989632;2595.6116;417
2024-09-16T19:00:52.138;599620869351665280;2603.287;407
2024-09-16T19:00:52.145;599620869359341056;2610.963;548
2024-09-16T19:00:52.153;599620869367016704;2618.6387;989
2024-09-16T19:00:52.161;599620869374692352;2626.3142;1380
2024-09-16T19:00:52.168;599620869382368128;2633.9902;1055
2024-09-16T19:00:52.176;599620869390043776;2641.6655;360
2024-09-16T19:00:52.184;599620869397719424;2649.3416;256
2024-09-16T19:00:52.192;599620869405395200;2657.017;459
2024-09-16T19:00:52.199;599620869413070848;2664.6926;332
2024-09-16T19:00:52.207;599620869420746624;2672.3687;233
2024-09-16T19:00:52.215;599620869428422272;2680.044;336
2024-09-16T19:00:52.222;599620869436097920;2687.72;339
2024-09-16T19:00:52.230;599620869443773696;2695.3955;303
2024-09-16T19:00:52.238;599620869451449344;2703.0713;343
2024-09-16T19:00:52.245;599620869459124992;2710.7468;355
2024-09-16T19:00:52.253;599620869466800768;2718.4226;334
2024-09-16T19:00:52.261;599620869474476416;2726.0984;351
2024-09-16T19:00:52.268;599620869482152192;2733.7742;379
2024-09-16T19:00:52.276;599620869489827840;2741.4497;379
2024-09-16T19:00:52.284;599620869497503488;2749.1255;381
2024-09-16T19:00:52.291;599620869505179264;2756.801;412
2024-09-16T19:00:52.299;599620869512854912;2764.4768;435
2024-09-16T19:00:52.307;599620869520530560;2772.1523;449
2024-09-16T19:00:52.314;599620869528206336;2779.8281;492
2024-09-16T19:00:52.322;599620869535881984;2787.504;534
2024-09-16T19:00:52.330;599620869543557705;2795.1794;541
2024-09-16T19:00:52.337;599620869551233408;2802.8555;541
2024-09-16T19:00:52.345;599620869558909056;2810.5308;558
2024-09-16T19:00:52.353;599620869566584832;2818.2068;558
2024-09-16T19:00:52.360;599620869574260480;2825.8823;532
2024-09-16T19:00:52.368;599620869581936128;2833.558;511
2024-09-16T19:00:52.376;599620869589611904;2841.234;478
2024-09-16T19:00:52.383;599620869597287552;2848.9094;419
2024-09-16T19:00:52.391;599620869604963328;2856.5852;388
2024-09-16T19:00:52.399;599620869612638976;2864.2607;379
2024-09-16T19:00:52.406;599620869620314624;2871.9365;341
2024-09-16T19:00:52.414;599620869627990400;2879.6123;308
2024-09-16T19:00:52.422;599620869635666048;2887.2878;310
2024-09-16T19:00:52.429;599620869643341696;2894.9636;318
2024-09-16T19:00:52.437;599620869651017472;2902.6394;315
2024-09-16T19:00:52.445;599620869658693120;2910.315;325
2024-09-16T19:00:52.452;599620869666368896;2917.991;325
2024-09-16T19:00:52.460;599620869674044544;2925.6663;318
2024-09-16T19:00:52.468;599620869681720192;2933.3423;327
2024-09-16T19:00:52.476;599620869689395968;2941.0178;339
2024-09-16T19:00:52.483;599620869697071616;2948.6936;327
2024-09-16T19:00:52.491;599620869704747264;2956.3691;310
2024-09-16T19:00:52.499;599620869712423040;2964.045;301
2024-09-16T19:00:52.506;599620869720098688;2971.7207;299
2024-09-16T19:00:52.514;599620869727774336;2979.396;315
2024-09-16T19:00:52.522;599620869735450112;2987.072;348
2024-09-16T19:00:52.529;599620869743125760;2994.7476;362
2024-09-16T19:00:52.537;599620869750801536;3002.4233;336
2024-09-16T19:00:52.545;599620869758477184;3010.099;303
2024-09-16T19:00:52.552;599620869766152832;3017.7747;289
2024-09-16T19:00:52.560;599620869773828608;3025.4504;270
2024-09-16T19:00:52.568;599620869781504256;3033.1262;259
2024-09-16T19:00:52.575;599620869789179904;3040.8018;254
2024-09-16T19:00:52.583;599620869796855680;3048.4778;242
2024-09-16T19:00:52.591;599620869804531328;3056.153;242
2024-09-16T19:00:52.598;599620869812206976;3063.829;252
2024-09-16T19:00:52.606;599620869819882752;3071.5046;247
2024-09-16T19:00:52.614;599620869827558400;3079.1802;223
2024-09-16T19:00:52.621;599620869835234176;3086.8562;207
2024-09-16T19:00:52.629;599620869842909824;3094.5315;313
2024-09-16T19:00:52.637;599620869850585472;3102.2075;751
2024-09-16T19:00:52.644;599620869858261248;3109.883;1298
2024-09-16T19:00:52.652;599620869865936896;3117.5588;1133
2024-09-16T19:00:52.660;599620869873612544;3125.2344;299
2024-09-16T19:00:52.667;599620869881288320;3132.9102;-2
2024-09-16T19:00:52.675;599620869888963968;3140.586;252
2024-09-16T19:00:52.683;599620869896639744;3148.2617;188
2024-09-16T19:00:52.690;599620869904315392;3155.9373;37
2024-09-16T19:00:52.698;599620869911991040;3163.613;141
2024-09-16T19:00:52.706;599620869919666816;3171.2886;183
2024-09-16T19:00:52.713;599620869927342464;3178.9646;136
2024-09-16T19:00:52.721;599620869935018112;3186.64;150
2024-09-16T19:00:52.729;599620869942693888;3194.3157;160
2024-09-16T19:00:52.736;599620869950369536;3201.9915;167
2024-09-16T19:00:52.744;599620869958045184;3209.667;202
2024-09-16T19:00:52.752;599620869965720960;3217.343;209
2024-09-16T19:00:52.760;599620869973396608;3225.0183;207
2024-09-16T19:00:52.767;599620869981072384;3232.6943;247
2024-09-16T19:00:52.775;599620869988748032;3240.3699;275
2024-09-16T19:00:52.783;599620869996423680;3248.0457;270
2024-09-16T19:00:52.790;599620870004099456;3255.7214;294
2024-09-16T19:00:52.798;599620870011775104;3263.397;346
2024-09-16T19:00:52.806;599620870019450752;3271.0728;372
2024-09-16T19:00:52.813;599620870027126528;3278.7485;384
2024-09-16T19:00:52.821;599620870034802176;3286.424;412
2024-09-16T19:00:52.829;599620870042477952;3294.0999;428
2024-09-16T19:00:52.836;599620870050153600;3301.7754;407
2024-09-16T19:00:52.844;599620870057829248;3309.4512;388
2024-09-16T19:00:52.852;599620870065505024;3317.127;379
2024-09-16T19:00:52.859;599620870073180672;3324.8025;348
2024-09-16T19:00:52.867;599620870080856320;3332.4783;292
2024-09-16T19:00:52.875;599620870088532096;3340.1538;249
2024-09-16T19:00:52.882;599620870096207744;3347.8298;233
2024-09-16T19:00:52.890;599620870103883444;3355.5054;216
2024-09-16T19:00:52.898;599620870111559040;3363.1812;183
2024-09-16T19:00:52.905;599620870119234688;3370.8564;164
2024-09-16T19:00:52.913;599620870126910464;3378.5325;171
2024-09-16T19:00:52.921;599620870134586112;3386.208;181
2024-09-16T19:00:52.928;599620870142261760;3393.8835;181
2024-09-16T19:00:52.936;599620870149937536;3401.5596;179
2024-09-16T19:00:52.944;599620870157613184;3409.2349;186
2024-09-16T19:00:52.951;599620870165288960;3416.911;193
2024-09-16T19:00:52.959;599620870172964608;3424.5864;195
2024-09-16T19:00:52.967;599620870180640256;3432.2622;190
2024-09-16T19:00:52.974;599620870188316032;3439.938;179
2024-09-16T19:00:52.982;599620870195991680;3447.6135;179
2024-09-16T19:00:52.990;599620870203667328;3455.2893;200
2024-09-16T19:00:52.997;599620870211343104;3462.965;240
2024-09-16T19:00:53.005;599620870219018752;3470.6406;268
2024-09-16T19:00:53.013;599620870226694528;3478.3167;254
2024-09-16T19:00:53.020;599620870234370176;3485.992;223
2024-09-16T19:00:53.028;599620870242045824;3493.6677;207
2024-09-16T19:00:53.036;599620870249721600;3501.3435;183
2024-09-16T19:00:53.044;599620870257397248;3509.019;162
2024-09-16T19:00:53.051;599620870265072896;3516.6948;160
2024-09-16T19:00:53.059;599620870272748672;3524.3704;157
